,COPY,,,,,,COPY,,,COPY,
ID,Overall,Round,Pick,Team,Player,Notes,Draft Friendly Player,Position,Position Rank,Combined Position Rank,Picks Before
Basil1,1,1,1,Basil,,,"""""",,1,"""1""",0
Chaz1,2,1,2,Chaz,,,"""""",,2,"""2""",1
Hunter1,3,1,3,Hunter,,,"""""",,3,"""3""",2
Ross1,4,1,4,Ross,CeeDee Lamb,3rd Year Keeper,"""CeeDee Lamb (3rd Year Keeper)""",WR,1,"""WR1""",2
Willis1,5,1,5,Willis,,,"""""",,4,"""4""",3
Willis2,6,1,6,Willis,,,"""""",,5,"""5""",4
Jared1,7,1,7,Jared,Saquon Barkley,3rd Year Keeper,"""Saquon Barkley (3rd Year Keeper)""",RB,1,"""RB1""",4
Ean1,8,1,8,Ean,Jahmyr Gibbs,2nd Year Keeper,"""Jahmyr Gibbs (2nd Year Keeper)""",RB,2,"""RB2""",4
Majors1,9,1,9,Majors,,,"""""",,6,"""6""",5
Matt1,10,1,10,Matt,Bijan Robinson,2nd Year Keeper,"""Bijan Robinson (2nd Year Keeper)""",RB,3,"""RB3""",5
Sawyer1,11,1,11,Sawyer,,,"""""",,7,"""7""",6
Sam1,12,1,12,Sam,Justin Jefferson,1st Year Keeper,"""Justin Jefferson (1st Year Keeper)""",WR,2,"""WR2""",6
Sam2,13,2,1,Sam,,,"""""",,8,"""8""",7
Sawyer2,14,2,2,Sawyer,,,"""""",,9,"""9""",8
Matt2,15,2,3,Matt,Derrick Henry,"1st Round, 2nd Year Keeper","""Derrick Henry (1st Round, 2nd Year Keeper)""",RB,4,"""RB4""",8
Majors2,16,2,4,Majors,,,"""""",,10,"""10""",9
Ean2,17,2,5,Ean,,,"""""",,11,"""11""",10
Jared2,18,2,6,Jared,Tyreek Hill,3rd Year Keeper,"""Tyreek Hill (3rd Year Keeper)""",WR,3,"""WR3""",10
Willis3,19,2,7,Willis,,,"""""",,12,"""12""",11
Trevor1,20,2,8,Trevor,Lamar Jackson,1st Year Keeper,"""Lamar Jackson (1st Year Keeper)""",QB,1,"""QB1""",11
Ross2,21,2,9,Ross,Malik Nabers,1st Year Keeper,"""Malik Nabers (1st Year Keeper)""",WR,4,"""WR4""",11
Hunter2,22,2,10,Hunter,,,"""""",,13,"""13""",12
Chaz2,23,2,11,Chaz,,,"""""",,14,"""14""",13
Basil2,24,2,12,Basil,,,"""""",,15,"""15""",14
Basil3,25,3,1,Basil,,,"""""",,16,"""16""",15
Chaz3,26,3,2,Chaz,,,"""""",,17,"""17""",16
Hunter3,27,3,3,Hunter,Trey McBride,1st Year Keeper,"""Trey McBride (1st Year Keeper)""",TE,1,"""TE1""",16
Ross3,28,3,4,Ross,,,"""""",,18,"""18""",17
Basil4,29,3,5,Basil,,,"""""",,19,"""19""",18
Willis4,30,3,6,Willis,,,"""""",,20,"""20""",19
Jared3,31,3,7,Jared,,,"""""",,21,"""21""",20
Ean3,32,3,8,Ean,,,"""""",,22,"""22""",21
Majors3,33,3,9,Majors,,,"""""",,23,"""23""",22
Matt3,34,3,10,Matt,,,"""""",,24,"""24""",23
Sawyer3,35,3,11,Sawyer,Breece Hall,2nd Year Keeper,"""Breece Hall (2nd Year Keeper)""",RB,5,"""RB5""",23
Sam3,36,3,12,Sam,,,"""""",,25,"""25""",24
Sam4,37,4,1,Sam,,,"""""",,26,"""26""",25
Sawyer4,38,4,2,Sawyer,,,"""""",,27,"""27""",26
Matt4,39,4,3,Matt,,,"""""",,28,"""28""",27
Majors4,40,4,4,Majors,,,"""""",,29,"""29""",28
Ean4,41,4,5,Ean,,,"""""",,30,"""30""",29
Jared4,42,4,6,Jared,George Kittle,1st Year Keeper,"""George Kittle (1st Year Keeper)""",TE,2,"""TE2""",29
